"01180: Kommunestyrevalget. Godkjente stemmer, etter region, politisk parti, statistikkvariabel og fireårlig"

"region";"politisk parti";"Godkjente stemmer 2023"
"3110 Hvaler";"Norges demokratiske parti";0
"3110 Hvaler";"Norges Kommunistiske Parti";0
"3110 Hvaler";"Norsk Folkeparti";0
"3110 Hvaler";"Norsk Sosialdemokratisk parti";0
"3110 Hvaler";"Partiet De Kristne";0
"3110 Hvaler";"Pensjonistpartiet";0
"3110 Hvaler";"Piratpartiet";0
"3110 Hvaler";"Rettferdighetspartiet";0
"3110 Hvaler";"Rød valgallianse (1973-2007)";0
"3110 Hvaler";"Samefolkets liste";0
"3110 Hvaler";"Samfunnspartiet";0
"3110 Hvaler";"Samlingspartiet (Ny Fremtid)";0
"3110 Hvaler";"Sogn og Fjordane fisker- og småbrukerparti";0
"3110 Hvaler";"Sosialdemokratene";0
"3110 Hvaler";"Sosialistisk Folkeparti (1961-1969)";0
"3110 Hvaler";"Sosialistisk Valgforbund (1973)";0
"3110 Hvaler";"Stopp Innvandringen";0
"3110 Hvaler";"Sykehus til Alta";0
"3110 Hvaler";"Tverrpolitisk kyst og distriktsparti";0
"3110 Hvaler";"Felleslister";0
"3110 Hvaler";"Fellesliste Venstre";0
"3110 Hvaler";"Fellesliste Bondepartiet";0
"3110 Hvaler";"Fellesliste Kristelig folkeparti";0
"3110 Hvaler";"Fellesliste Høyre";0
"3110 Hvaler";"Fellesliste Senterpartiet";0
"3110 Hvaler";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"3110 Hvaler";"Fellesliste Det nye Folkepartiet";0
"3110 Hvaler";"Borgerlige felleslister";0
"3110 Hvaler";"Lokale lister";210
"3110 Hvaler";"Andre lister";0
"3112 Råde";"Arbeiderpartiet";703
"3112 Råde";"Fremskrittspartiet";470
"3112 Råde";"Høyre";1538
"3112 Råde";"Kristelig Folkeparti";327
"3112 Råde";"Miljøpartiet de Grønne";210
"3112 Råde";"Rødt";0
"3112 Råde";"Senterpartiet";411
"3112 Råde";"Sosialistisk Venstreparti";0
"3112 Råde";"Venstre";0
"3112 Råde";"Abort-motstandernes liste";0
"3112 Råde";"Anders Langes parti (1973)";0
"3112 Råde";"Barn/Eldre";0
"3112 Råde";"Bondepartiet (-1959)";0
"3112 Råde";"Demokratene i Norge";0
"3112 Råde";"Det Liberale Folkepartiet";0
"3112 Råde";"Det nye Folkepartiet (1973-1977)";0
"3112 Råde";"Det Politiske Parti";0
"3112 Råde";"Ensliges parti";0
"3112 Råde";"Fedrelandspartiet";0
"3112 Råde";"Felles framtid";0
"3112 Råde";"Folkeaksjonen Fremtid for Finnmark";0
"3112 Råde";"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja";0
"3112 Råde";"Folkemakten";0
"3112 Råde";"Frie Folkevalgte";0
"3112 Råde";"Frihetspartiet";0
"3112 Råde";"Fylkeslistene for miljø og solidaritet";0
"3112 Råde";"Hjelp fremmedkulturelle hjem ellers ...";0
"3112 Råde";"Hvit Valgallianse";0
"3112 Råde";"Kristent konservativt parti";0
"3112 Råde";"Kristent Samlingsparti";0
"3112 Råde";"Kvinnenes frie folkevalgte";0
"3112 Råde";"Kystpartiet";0
"3112 Råde";"Naturlovpartiet";0
"3112 Råde";"Norges demokratiske parti";0
"3112 Råde";"Norges Kommunistiske Parti";0
"3112 Råde";"Norsk Folkeparti";0
"3112 Råde";"Norsk Sosialdemokratisk parti";0
"3112 Råde";"Partiet De Kristne";0
"3112 Råde";"Pensjonistpartiet";0
"3112 Råde";"Piratpartiet";0
"3112 Råde";"Rettferdighetspartiet";0
"3112 Råde";"Rød valgallianse (1973-2007)";0
"3112 Råde";"Samefolkets liste";0
"3112 Råde";"Samfunnspartiet";0
"3112 Råde";"Samlingspartiet (Ny Fremtid)";0
"3112 Råde";"Sogn og Fjordane fisker- og småbrukerparti";0
"3112 Råde";"Sosialdemokratene";0
"3112 Råde";"Sosialistisk Folkeparti (1961-1969)";0
"3112 Råde";"Sosialistisk Valgforbund (1973)";0
"3112 Råde";"Stopp Innvandringen";0
