"","country","region","population_kaggle","area","pop_dens","coastline","net_migration","infant_mortality","gdp_kaggle","literacy","phones","arable","crops","climate","birthrate","deathrate","agriculture","industry","service","code","mismanaged","coastal_pop","population","per_capita_plastic_waste","gdp","per_capita_mismanaged"
"143","Nepal","ASIA (EX. NEAR EAST)",28287147,147181,192.2,0,0,6698,1400,45.2,15.9,21.68,0.64,NA,3098,931,0.38,0.21,0.41,"NPL",NA,NA,29959364,NA,1985.98034060169,NA
"144","Netherlands","WESTERN EUROPE",16491461,41526,397.1,1.09,2.91,504,28600,99,460.8,26.71,0.97,"3",109,868,0.021,0.244,0.736,"NLD",27700,8971770,16612988,0.424,45524.6621425733,0.008
"145","Netherlands Antilles","LATIN AMER. & CARIB",221736,960,231,37.92,-0.41,1003,11400,96.7,365.3,10,0,"2",1478,645,0.01,0.15,0.84,"ANT",416,227165,NA,0.252,NA,0.005
"146","New Caledonia","OCEANIA",219246,19060,11.5,11.83,0,772,15000,91,252.2,0.38,0.33,"2",1811,569,0.15,0.088,0.762,"NCL",472,257904,250870,0.252,NA,0.005
"147","New Zealand","OCEANIA",4076140,268680,15.2,5.63,4.05,585,21600,99,441.7,5.6,6.99,"3",1376,753,0.043,0.273,0.684,"NZL",9286,3862054,4368136,0.331,32119.2155430773,0.007
"148","Nicaragua","LATIN AMER. & CARIB",5570129,129494,43,0.7,-1.22,2911,2300,67.5,39.7,15.94,1.94,"2",2451,445,0.165,0.275,0.56,"NIC",84415,3482653,5788163,0.143,4028.71208738128,0.066
"149","Niger","SUB-SAHARAN AFRICA",12525094,1267000,9.9,0,-0.67,12169,800,17.6,1.9,3.54,0.01,"1",5073,2091,0.39,0.17,0.44,"NER",NA,NA,15511953,NA,814.240936151832,NA
"150","Nigeria","SUB-SAHARAN AFRICA",131859731,923768,142.7,0.09,0.26,988,900,68,9.3,31.29,2.96,"15",4043,1694,0.269,0.487,0.244,"NGA",851493,27477112,158423182,0.103,5150.15881822763,0.085
"151","Northern Mariana Islands","OCEANIA",82459,477,172.9,310.69,9.61,711,12500,97,254.7,13.04,4.35,"2",1943,229,NA,NA,NA,"MNP",219,106256,60917,0.252,NA,0.006
"152","Norway","WESTERN EUROPE",4610820,323802,14.2,7.77,1.74,37,37800,100,461.7,2.87,0,"3",1146,94,0.021,0.415,0.564,"NOR",8403,4131679,4883111,0.28,62350.4107068751,0.006
"153","Oman","NEAR EAST",3102229,212460,14.6,0.98,0.28,1951,13100,75.8,85.5,0,0.14,"1",3624,381,0.027,0.39,0.583,"OMN",4658,2597556,2782435,0.084,45335.8525168436,0.005
"154","Pakistan","ASIA (EX. NEAR EAST)",165803560,803940,206.2,0.13,-2.77,7244,2100,45.7,31.8,27.87,0.87,"1",2974,823,0.216,0.251,0.533,"PAK",480493,14581952,173593383,0.103,4283.60731163635,0.09
"155","Palau","OCEANIA",20579,458,44.9,331.66,2.85,1484,9000,92,325.6,8.7,4.35,"2",1803,68,0.062,0.12,0.818,"PLW",716,23446,20472,0.144,11846.5739334318,0.084
"156","Panama","LATIN AMER. & CARIB",3191319,78200,40.8,3.18,-0.91,2047,6300,92.6,137.9,7.36,1.98,"2",2174,536,0.068,0.156,0.776,"PAN",34388,3249531,3516820,0.145,15628.5922438738,0.029
"157","Papua New Guinea","OCEANIA",5670544,462840,12.3,1.11,0,5145,2200,64.6,10.9,0.46,1.44,"2",2936,725,0.353,0.381,0.266,"PNG",89835,2747514,6858266,0.103,3191.58041028301,0.09
"158","Paraguay","LATIN AMER. & CARIB",6506464,406750,16,0,-0.08,2563,4700,94,49.2,7.6,0.23,"2",291,449,0.224,0.207,0.569,"PRY",NA,NA,6454548,NA,7289.51391005233,NA
"159","Peru","LATIN AMER. & CARIB",28302603,1285220,22,0.19,-1.05,3194,5100,90.9,79.5,2.89,0.4,"15",2048,623,0.08,0.27,0.65,"PER",194453,13765608,29076512,0.144,9956.55663668307,0.039
"160","Philippines","ASIA (EX. NEAR EAST)",89468677,3e+05,298.2,12.1,-1.5,2351,4600,92.6,38.4,18.95,16.77,"2",2489,541,0.144,0.326,0.53,"PHL",1883659,83446862,93260798,0.075,5596.83728794962,0.062
"161","Poland","EASTERN EUROPE",38536869,312685,123.3,0.16,-0.49,851,11100,99.8,306.3,45.91,1.12,"3",985,989,0.05,0.311,0.64,"POL",15703,3272933,38276660,0.097,21770.6444359772,0.013
"162","Portugal","WESTERN EUROPE",10605870,92391,114.8,1.94,3.57,505,18000,93.3,399.2,21.75,7.81,"3",1072,105,0.053,0.274,0.673,"PRT",16402,8507951,10675572,0.265,27238.4606724422,0.005
"163","Puerto Rico","LATIN AMER. & CARIB",3927188,13790,284.8,3.63,-1.46,824,16800,94.1,283.1,3.95,5.52,"2",1277,765,0.01,0.45,0.54,"PRI",16517,4249848,3749009,0.252,33924.0540101397,0.011
"164","Qatar","NEAR EAST",885359,11437,77.4,4.92,16.29,1861,21500,82.5,232,1.64,0.27,"1",1556,472,0.002,0.801,0.197,"QAT",758,653007,1758793,0.16,125140.838348001,0.003
"165","Reunion","SUB-SAHARAN AFRICA",787584,2517,312.9,8.22,0,778,5800,88.9,380.9,13.6,1.2,"2",189,549,0.08,0.19,0.73,"REU",847,809426,846068,0.144,NA,0.003
"166","Romania","EASTERN EUROPE",22303552,237500,93.9,0.09,-0.13,2643,7000,98.4,196.9,40.82,2.25,"3",107,1177,0.101,0.35,0.549,"ROU",3610,875170,21486371,0.042,17553.2832966444,0.011
"167","Russia","C.W. OF IND. STATES",142893540,17075200,8.4,0.22,1.02,1539,8900,99.6,280.6,7.33,0.11,NA,995,1465,0.054,0.371,0.575,"RUS",80759,10812537,142958164,0.112,23107.7852212759,0.02
"168","Rwanda","SUB-SAHARAN AFRICA",8648248,26338,328.4,0,0,9123,1300,70.4,2.7,40.54,12.16,"3",4037,1609,0.401,0.229,0.37,"RWA",NA,NA,10624005,NA,1365.17423994085,NA
"169","Saint Helena","SUB-SAHARAN AFRICA",7502,413,18.2,14.53,0,19,2500,97,293.3,12.9,0,NA,1213,653,NA,NA,NA,"SHN",96,6839,4118,0.144,NA,0.039
"170","Saint Kitts and Nevis","LATIN AMER. & CARIB",39129,261,149.9,51.72,-7.11,1449,8800,97,638.9,19.44,2.78,"2",1802,833,0.035,0.258,0.707,"KNA",715,36102,52402,0.654,21412.201453108,0.054
"171","Saint Lucia","LATIN AMER. & CARIB",168458,616,273.5,25.65,-2.67,1353,5400,67,303.3,6.56,22.95,"2",1968,508,0.07,0.2,0.73,"LCA",6709,163227,174267,0.522,12123.8351390475,0.113
"172","Saint Pierre and Miquelon","NORTHERN AMERICA",7026,242,29,49.59,-4.86,754,6900,99,683.2,13.04,0,NA,1352,683,NA,NA,NA,"SPM",11,5888,NA,0.252,NA,0.005
"173","Saint Vincent and the Grenadines","LATIN AMER. & CARIB",117848,389,303,21.59,-7.64,1478,2900,96,190.9,17.95,17.95,"2",1618,598,0.1,0.26,0.64,"VCT",2245,120149,109333,0.221,9915.57761891195,0.051
"174","Samoa","OCEANIA",176908,2944,60.1,13.69,-11.7,2771,5600,99.7,75.2,21.2,24.38,"2",1643,662,0.114,0.584,0.302,"WSM",5122,168025,183081,0.103,5399.89309631838,0.084
"175","San Marino","WESTERN EUROPE",29251,61,479.5,0,10.98,573,34600,96,704.3,16.67,0,NA,1002,817,NA,NA,NA,"SMR",NA,NA,31534,NA,73862.3374374501,NA
"176","Sao Tome and Principe","SUB-SAHARAN AFRICA",193413,1001,193.2,20.88,-2.72,4311,1200,79.3,36.2,6.25,48.96,"2",4025,647,0.167,0.148,0.684,"STP",5081,163740,165397,0.103,2641.51394847294,0.085
"177","Saudi Arabia","NEAR EAST",27019731,1960582,13.8,0.13,-2.71,1324,11800,78.8,140.6,1.67,0.09,"1",2934,258,0.033,0.613,0.354,"SAU",20552,3593471,27448086,0.156,45421.2284797446,0.016
"178","Senegal","SUB-SAHARAN AFRICA",11987121,196190,61.1,0.27,0.2,5551,1600,40.2,22.2,12.78,0.21,"2",3278,942,0.172,0.209,0.619,"SEN",254770,8125063,12433728,0.103,2183.99505141766,0.086
"179","Serbia","EASTERN EUROPE",9396411,88361,106.3,0,-1.33,1289,2200,93,285.8,33.35,3.2,NA,NA,NA,0.166,0.255,0.579,"SRB",NA,NA,9856222,NA,12688.1242898741,NA
"180","Seychelles","SUB-SAHARAN AFRICA",81541,455,179.2,107.91,-5.69,1553,7800,58,262.4,2.22,13.33,"2",1603,629,0.032,0.304,0.665,"SYC",4619,91361,86518,0.358,20365.1189331513,0.139
"181","Sierra Leone","SUB-SAHARAN AFRICA",6005250,71740,83.7,0.56,0,14364,500,31.4,4,6.98,0.89,"2",4576,2303,0.49,0.31,0.21,"SLE",36408,2887017,5867536,0.041,1199.98985027502,0.035
"182","Singapore","ASIA (EX. NEAR EAST)",4492150,693,6482.2,27.85,11.53,229,23700,92.5,411.4,1.64,0,"2",934,428,0,0.339,0.661,"SGP",6472,4492494,5086418,0.194,72115.8395014504,0.004
"183","Slovakia","EASTERN EUROPE",5439448,48845,111.4,0,0.3,741,13300,NA,220.1,30.16,2.62,"3",1065,945,0.035,0.294,0.672,"SVK",NA,NA,5462119,NA,25159.0775487579,NA
"184","Slovenia","EASTERN EUROPE",2010347,20273,99.2,0.23,1.12,445,19000,99.7,406.1,8.6,1.49,NA,898,1031,0.028,0.369,0.603,"SVN",556,336594,2029680,0.145,28678.3726303687,0.005
"185","Solomon Islands","OCEANIA",552438,28450,19.4,18.67,0,2129,1700,NA,13.4,0.64,2,"2",3001,392,0.42,0.11,0.47,"SLB",20394,618678,538148,0.103,1871.36935209356,0.09
"186","Somalia","SUB-SAHARAN AFRICA",8863338,637657,13.9,0.47,5.37,1167,500,37.8,11.3,1.67,0.04,"1",4513,1663,0.65,0.1,0.25,"SOM",101531,5971169,9330872,0.054,NA,0.047
"187","South Africa","SUB-SAHARAN AFRICA",44187637,1219912,36.2,0.23,-0.29,6181,10700,86.4,107,12.08,0.79,"1",182,22,0.025,0.303,0.671,"ZAF",630005,12899201,50132817,0.24,11887.8050343927,0.134
"188","Spain","WESTERN EUROPE",40397842,504782,80,0.98,0.99,442,22000,97.9,453.5,26.07,9.87,"3",1006,972,0.04,0.295,0.665,"ESP",45853,22771488,46076989,0.277,32507.0939660629,0.006
"189","Sri Lanka","ASIA (EX. NEAR EAST)",20222240,65610,308.2,2.04,-1.31,1435,3700,92.3,61.5,13.86,15.7,"2",1551,652,0.178,0.276,0.545,"LKA",1591179,14568174,20859949,0.357,8529.57144219453,0.299
"190","Sudan","SUB-SAHARAN AFRICA",41236378,2505810,16.5,0.03,-0.02,625,1900,61.1,16.3,6.83,0.18,"2",3453,897,0.387,0.203,0.41,"SDN",22928,752529,34136520,0.103,3366.09626107549,0.083
"191","Suriname","LATIN AMER. & CARIB",439117,163270,2.7,0.24,-8.81,2357,4000,93,184.7,0.37,0.06,"2",1802,727,0.13,0.22,0.65,"SUR",3942,402263,524636,0.163,14211.8775163255,0.027
"192","Swaziland","SUB-SAHARAN AFRICA",1136334,17363,65.5,0,0,6927,4900,81.6,30.8,10.35,0.7,"25",2741,2974,0.119,0.515,0.366,"SWZ",NA,NA,1186056,NA,7296.51111860929,NA
